Forecasted Prices (Date, Mean, and Std):
2024-11-26 00:15: Mean = 14.82, Std = 0.00
2024-11-26 00:30: Mean = 14.82, Std = 0.01
2024-11-26 00:45: Mean = 14.82, Std = 0.02
2024-11-26 01:00: Mean = 14.82, Std = 0.02
2024-11-26 01:15: Mean = 14.82, Std = 0.03
2024-11-26 01:30: Mean = 14.82, Std = 0.03
2024-11-26 01:45: Mean = 14.82, Std = 0.03
2024-11-26 02:00: Mean = 14.82, Std = 0.04
2024-11-26 02:15: Mean = 14.82, Std = 0.04
2024-11-26 02:30: Mean = 14.82, Std = 0.04
2024-11-26 02:45: Mean = 14.82, Std = 0.04
2024-11-26 03:00: Mean = 14.82, Std = 0.05
2024-11-26 03:15: Mean = 14.82, Std = 0.05
2024-11-26 03:30: Mean = 14.82, Std = 0.05
2024-11-26 03:45: Mean = 14.82, Std = 0.05
2024-11-26 04:00: Mean = 14.82, Std = 0.05
2024-11-26 04:15: Mean = 14.82, Std = 0.06
2024-11-26 04:30: Mean = 14.82, Std = 0.06
2024-11-26 04:45: Mean = 14.82, Std = 0.06
2024-11-26 05:00: Mean = 14.82, Std = 0.06
2024-11-26 05:15: Mean = 14.82, Std = 0.06
2024-11-26 05:30: Mean = 14.82, Std = 0.06
2024-11-26 05:45: Mean = 14.82, Std = 0.07
2024-11-26 06:00: Mean = 14.82, Std = 0.07
2024-11-26 06:15: Mean = 14.82, Std = 0.07
2024-11-26 06:30: Mean = 14.82, Std = 0.07
2024-11-26 06:45: Mean = 14.82, Std = 0.07
2024-11-26 07:00: Mean = 14.82, Std = 0.07
2024-11-26 07:15: Mean = 14.82, Std = 0.07
2024-11-26 07:30: Mean = 14.82, Std = 0.08
2024-11-26 07:45: Mean = 14.82, Std = 0.08
2024-11-26 08:00: Mean = 14.82, Std = 0.08
2024-11-26 08:15: Mean = 14.82, Std = 0.08
2024-11-26 08:30: Mean = 14.82, Std = 0.08
2024-11-26 08:45: Mean = 14.82, Std = 0.08
2024-11-26 09:00: Mean = 14.82, Std = 0.08
2024-11-26 09:15: Mean = 14.82, Std = 0.08
2024-11-26 09:30: Mean = 14.82, Std = 0.09
2024-11-26 09:45: Mean = 14.82, Std = 0.09
2024-11-26 10:00: Mean = 14.82, Std = 0.09
2024-11-26 10:15: Mean = 14.82, Std = 0.09
2024-11-26 10:30: Mean = 14.82, Std = 0.09
2024-11-26 10:45: Mean = 14.82, Std = 0.09
2024-11-26 11:00: Mean = 14.82, Std = 0.09
2024-11-26 11:15: Mean = 14.82, Std = 0.09
2024-11-26 11:30: Mean = 14.82, Std = 0.10
2024-11-26 11:45: Mean = 14.82, Std = 0.10
2024-11-26 12:00: Mean = 14.82, Std = 0.10
2024-11-26 12:15: Mean = 14.82, Std = 0.10
2024-11-26 12:30: Mean = 14.82, Std = 0.10
2024-11-26 12:45: Mean = 14.82, Std = 0.10
2024-11-26 13:00: Mean = 14.82, Std = 0.10
2024-11-26 13:15: Mean = 14.82, Std = 0.10
2024-11-26 13:30: Mean = 14.82, Std = 0.10
2024-11-26 13:45: Mean = 14.82, Std = 0.10
2024-11-26 14:00: Mean = 14.82, Std = 0.11
2024-11-26 14:15: Mean = 14.82, Std = 0.11
2024-11-26 14:30: Mean = 14.82, Std = 0.11
2024-11-26 14:45: Mean = 14.82, Std = 0.11
2024-11-26 15:00: Mean = 14.82, Std = 0.11
2024-11-26 15:15: Mean = 14.82, Std = 0.11
2024-11-26 15:30: Mean = 14.82, Std = 0.11
2024-11-26 15:45: Mean = 14.82, Std = 0.11
2024-11-26 16:00: Mean = 14.82, Std = 0.11
2024-11-26 16:15: Mean = 14.82, Std = 0.11
2024-11-26 16:30: Mean = 14.82, Std = 0.11
2024-11-26 16:45: Mean = 14.82, Std = 0.12
2024-11-26 17:00: Mean = 14.83, Std = 0.12
2024-11-26 17:15: Mean = 14.83, Std = 0.12
2024-11-26 17:30: Mean = 14.83, Std = 0.12
2024-11-26 17:45: Mean = 14.83, Std = 0.12
2024-11-26 18:00: Mean = 14.83, Std = 0.12
2024-11-26 18:15: Mean = 14.83, Std = 0.12
2024-11-26 18:30: Mean = 14.83, Std = 0.12
2024-11-26 18:45: Mean = 14.83, Std = 0.12
2024-11-26 19:00: Mean = 14.83, Std = 0.12
2024-11-26 19:15: Mean = 14.83, Std = 0.12
2024-11-26 19:30: Mean = 14.83, Std = 0.12
2024-11-26 19:45: Mean = 14.83, Std = 0.12
2024-11-26 20:00: Mean = 14.83, Std = 0.13
2024-11-26 20:15: Mean = 14.83, Std = 0.13
2024-11-26 20:30: Mean = 14.83, Std = 0.13
2024-11-26 20:45: Mean = 14.83, Std = 0.13
2024-11-26 21:00: Mean = 14.83, Std = 0.13
2024-11-26 21:15: Mean = 14.83, Std = 0.13
2024-11-26 21:30: Mean = 14.83, Std = 0.13
2024-11-26 21:45: Mean = 14.83, Std = 0.13
2024-11-26 22:00: Mean = 14.83, Std = 0.13
2024-11-26 22:15: Mean = 14.83, Std = 0.13
2024-11-26 22:30: Mean = 14.83, Std = 0.13

95% Confidence Interval:
Lower Bound: 14.56
Upper Bound: 15.09

Coverage Probability: 0.95
Number of Simulations Above Upper Bound: 273
Number of Simulations Below Lower Bound: 201
