Forecasted Prices (Date, Mean, and Std):
2024-11-22 00:00: Mean = 32.39, Std = 0.00
2024-11-25 00:00: Mean = 32.39, Std = 0.05
2024-11-26 00:00: Mean = 32.39, Std = 0.07
2024-11-27 00:00: Mean = 32.39, Std = 0.09
2024-11-28 00:00: Mean = 32.39, Std = 0.10
2024-11-29 00:00: Mean = 32.39, Std = 0.11
2024-12-02 00:00: Mean = 32.40, Std = 0.13
2024-12-03 00:00: Mean = 32.40, Std = 0.14
2024-12-04 00:00: Mean = 32.41, Std = 0.15
2024-12-05 00:00: Mean = 32.41, Std = 0.16
2024-12-06 00:00: Mean = 32.42, Std = 0.17
2024-12-09 00:00: Mean = 32.42, Std = 0.18
2024-12-10 00:00: Mean = 32.41, Std = 0.18
2024-12-11 00:00: Mean = 32.41, Std = 0.19
2024-12-12 00:00: Mean = 32.42, Std = 0.19
2024-12-13 00:00: Mean = 32.42, Std = 0.20
2024-12-16 00:00: Mean = 32.43, Std = 0.21
2024-12-17 00:00: Mean = 32.43, Std = 0.22
2024-12-18 00:00: Mean = 32.43, Std = 0.22
2024-12-19 00:00: Mean = 32.44, Std = 0.23
2024-12-20 00:00: Mean = 32.44, Std = 0.23
2024-12-23 00:00: Mean = 32.43, Std = 0.24
2024-12-24 00:00: Mean = 32.43, Std = 0.24
2024-12-25 00:00: Mean = 32.43, Std = 0.25
2024-12-26 00:00: Mean = 32.44, Std = 0.26
2024-12-27 00:00: Mean = 32.44, Std = 0.26
2024-12-30 00:00: Mean = 32.44, Std = 0.26
2024-12-31 00:00: Mean = 32.44, Std = 0.26
2025-01-01 00:00: Mean = 32.44, Std = 0.28
2025-01-02 00:00: Mean = 32.44, Std = 0.28
2025-01-03 00:00: Mean = 32.44, Std = 0.29
2025-01-06 00:00: Mean = 32.45, Std = 0.29
2025-01-07 00:00: Mean = 32.45, Std = 0.30
2025-01-08 00:00: Mean = 32.44, Std = 0.28
2025-01-09 00:00: Mean = 32.44, Std = 0.29
2025-01-10 00:00: Mean = 32.44, Std = 0.29
2025-01-13 00:00: Mean = 32.44, Std = 0.31
2025-01-14 00:00: Mean = 32.44, Std = 0.31
2025-01-15 00:00: Mean = 32.44, Std = 0.32
2025-01-16 00:00: Mean = 32.44, Std = 0.32
2025-01-17 00:00: Mean = 32.44, Std = 0.32
2025-01-20 00:00: Mean = 32.45, Std = 0.32
2025-01-21 00:00: Mean = 32.45, Std = 0.32
2025-01-22 00:00: Mean = 32.44, Std = 0.33
2025-01-23 00:00: Mean = 32.45, Std = 0.32
2025-01-24 00:00: Mean = 32.44, Std = 0.33
2025-01-27 00:00: Mean = 32.45, Std = 0.34
2025-01-28 00:00: Mean = 32.45, Std = 0.34
2025-01-29 00:00: Mean = 32.45, Std = 0.34
2025-01-30 00:00: Mean = 32.45, Std = 0.34
2025-01-31 00:00: Mean = 32.45, Std = 0.33
2025-02-03 00:00: Mean = 32.45, Std = 0.33
2025-02-04 00:00: Mean = 32.46, Std = 0.33
2025-02-05 00:00: Mean = 32.46, Std = 0.34
2025-02-06 00:00: Mean = 32.46, Std = 0.34
2025-02-07 00:00: Mean = 32.46, Std = 0.34
2025-02-10 00:00: Mean = 32.47, Std = 0.34
2025-02-11 00:00: Mean = 32.47, Std = 0.34
2025-02-12 00:00: Mean = 32.47, Std = 0.34
2025-02-13 00:00: Mean = 32.48, Std = 0.34
2025-02-14 00:00: Mean = 32.48, Std = 0.34
2025-02-17 00:00: Mean = 32.47, Std = 0.33
2025-02-18 00:00: Mean = 32.48, Std = 0.33
2025-02-19 00:00: Mean = 32.48, Std = 0.34
2025-02-20 00:00: Mean = 32.48, Std = 0.34
2025-02-21 00:00: Mean = 32.49, Std = 0.35
2025-02-24 00:00: Mean = 32.49, Std = 0.35
2025-02-25 00:00: Mean = 32.49, Std = 0.36
2025-02-26 00:00: Mean = 32.50, Std = 0.36
2025-02-27 00:00: Mean = 32.49, Std = 0.37
2025-02-28 00:00: Mean = 32.49, Std = 0.37
2025-03-03 00:00: Mean = 32.49, Std = 0.37
2025-03-04 00:00: Mean = 32.49, Std = 0.38
2025-03-05 00:00: Mean = 32.49, Std = 0.39
2025-03-06 00:00: Mean = 32.49, Std = 0.39
2025-03-07 00:00: Mean = 32.50, Std = 0.39
2025-03-10 00:00: Mean = 32.50, Std = 0.39
2025-03-11 00:00: Mean = 32.51, Std = 0.39
2025-03-12 00:00: Mean = 32.51, Std = 0.39
2025-03-13 00:00: Mean = 32.51, Std = 0.39
2025-03-14 00:00: Mean = 32.51, Std = 0.40
2025-03-17 00:00: Mean = 32.51, Std = 0.40
2025-03-18 00:00: Mean = 32.52, Std = 0.41
2025-03-19 00:00: Mean = 32.52, Std = 0.41
2025-03-20 00:00: Mean = 32.52, Std = 0.41
2025-03-21 00:00: Mean = 32.53, Std = 0.42
2025-03-24 00:00: Mean = 32.52, Std = 0.42
2025-03-25 00:00: Mean = 32.52, Std = 0.42
2025-03-26 00:00: Mean = 32.52, Std = 0.42
2025-03-27 00:00: Mean = 32.51, Std = 0.43
2025-03-28 00:00: Mean = 32.52, Std = 0.44
2025-03-31 00:00: Mean = 32.51, Std = 0.43
2025-04-01 00:00: Mean = 32.52, Std = 0.44
2025-04-02 00:00: Mean = 32.52, Std = 0.44
2025-04-03 00:00: Mean = 32.52, Std = 0.45
2025-04-04 00:00: Mean = 32.51, Std = 0.45
2025-04-07 00:00: Mean = 32.52, Std = 0.45
2025-04-08 00:00: Mean = 32.51, Std = 0.45
2025-04-09 00:00: Mean = 32.51, Std = 0.46
2025-04-10 00:00: Mean = 32.51, Std = 0.46
2025-04-11 00:00: Mean = 32.51, Std = 0.46
2025-04-14 00:00: Mean = 32.50, Std = 0.47
2025-04-15 00:00: Mean = 32.50, Std = 0.47
2025-04-16 00:00: Mean = 32.50, Std = 0.47
2025-04-17 00:00: Mean = 32.50, Std = 0.47
2025-04-18 00:00: Mean = 32.50, Std = 0.47
2025-04-21 00:00: Mean = 32.50, Std = 0.47
2025-04-22 00:00: Mean = 32.50, Std = 0.48
2025-04-23 00:00: Mean = 32.51, Std = 0.48
2025-04-24 00:00: Mean = 32.51, Std = 0.48
2025-04-25 00:00: Mean = 32.51, Std = 0.48
2025-04-28 00:00: Mean = 32.51, Std = 0.48
2025-04-29 00:00: Mean = 32.52, Std = 0.48
2025-04-30 00:00: Mean = 32.51, Std = 0.48
2025-05-01 00:00: Mean = 32.51, Std = 0.49
2025-05-02 00:00: Mean = 32.51, Std = 0.49
2025-05-05 00:00: Mean = 32.51, Std = 0.50
2025-05-06 00:00: Mean = 32.51, Std = 0.49
2025-05-07 00:00: Mean = 32.51, Std = 0.49
2025-05-08 00:00: Mean = 32.51, Std = 0.48
2025-05-09 00:00: Mean = 32.51, Std = 0.49
2025-05-12 00:00: Mean = 32.51, Std = 0.49
2025-05-13 00:00: Mean = 32.51, Std = 0.48
2025-05-14 00:00: Mean = 32.51, Std = 0.49
2025-05-15 00:00: Mean = 32.52, Std = 0.49
2025-05-16 00:00: Mean = 32.51, Std = 0.50
2025-05-19 00:00: Mean = 32.52, Std = 0.51
2025-05-20 00:00: Mean = 32.52, Std = 0.50
2025-05-21 00:00: Mean = 32.52, Std = 0.50
2025-05-22 00:00: Mean = 32.52, Std = 0.50
2025-05-23 00:00: Mean = 32.52, Std = 0.50
2025-05-26 00:00: Mean = 32.53, Std = 0.51
2025-05-27 00:00: Mean = 32.53, Std = 0.51
2025-05-28 00:00: Mean = 32.53, Std = 0.52
2025-05-29 00:00: Mean = 32.54, Std = 0.53
2025-05-30 00:00: Mean = 32.53, Std = 0.53
2025-06-02 00:00: Mean = 32.53, Std = 0.54
2025-06-03 00:00: Mean = 32.54, Std = 0.54
2025-06-04 00:00: Mean = 32.54, Std = 0.55
2025-06-05 00:00: Mean = 32.54, Std = 0.55
2025-06-06 00:00: Mean = 32.54, Std = 0.56
2025-06-09 00:00: Mean = 32.54, Std = 0.56
2025-06-10 00:00: Mean = 32.55, Std = 0.57
2025-06-11 00:00: Mean = 32.56, Std = 0.57
2025-06-12 00:00: Mean = 32.56, Std = 0.57
2025-06-13 00:00: Mean = 32.56, Std = 0.57
2025-06-16 00:00: Mean = 32.56, Std = 0.57
2025-06-17 00:00: Mean = 32.56, Std = 0.56
2025-06-18 00:00: Mean = 32.57, Std = 0.57
2025-06-19 00:00: Mean = 32.57, Std = 0.56
2025-06-20 00:00: Mean = 32.57, Std = 0.57
2025-06-23 00:00: Mean = 32.57, Std = 0.58
2025-06-24 00:00: Mean = 32.57, Std = 0.57
2025-06-25 00:00: Mean = 32.57, Std = 0.58
2025-06-26 00:00: Mean = 32.58, Std = 0.58
2025-06-27 00:00: Mean = 32.58, Std = 0.58
2025-06-30 00:00: Mean = 32.58, Std = 0.58
2025-07-01 00:00: Mean = 32.58, Std = 0.58
2025-07-02 00:00: Mean = 32.58, Std = 0.59
2025-07-03 00:00: Mean = 32.58, Std = 0.59
2025-07-04 00:00: Mean = 32.58, Std = 0.60
2025-07-07 00:00: Mean = 32.57, Std = 0.61
2025-07-08 00:00: Mean = 32.57, Std = 0.62
2025-07-09 00:00: Mean = 32.57, Std = 0.62
2025-07-10 00:00: Mean = 32.57, Std = 0.62
2025-07-11 00:00: Mean = 32.57, Std = 0.63
2025-07-14 00:00: Mean = 32.57, Std = 0.63
2025-07-15 00:00: Mean = 32.57, Std = 0.62
2025-07-16 00:00: Mean = 32.58, Std = 0.62
2025-07-17 00:00: Mean = 32.59, Std = 0.63
2025-07-18 00:00: Mean = 32.58, Std = 0.63
2025-07-21 00:00: Mean = 32.58, Std = 0.63
2025-07-22 00:00: Mean = 32.58, Std = 0.63
2025-07-23 00:00: Mean = 32.58, Std = 0.63
2025-07-24 00:00: Mean = 32.57, Std = 0.62
2025-07-25 00:00: Mean = 32.58, Std = 0.63
