strategy,params,Final Portfolio Value
Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.02}",1000794.72
Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",1000385.7
Geometric_Brownian_Motion,"{'threshold': 1.75, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.02}",1000175.53
Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.02}",999668.21
Geometric_Brownian_Motion,"{'threshold': 1.75, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",996777.57
Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.02}",996391.74
Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.01}",996352.36
Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.01}",996156.82
Geometric_Brownian_Motion,"{'threshold': 1.75, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.02, 'stop_loss_pct': 0.01}",995881.69
Geometric_Brownian_Motion,"{'threshold': 2, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",995482.53
Geometric_Brownian_Motion,"{'threshold': 1.75, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",994928.99
Geometric_Brownian_Motion,"{'threshold': 1.5, 'time_periods': 15, 'num_simulations': 100, 'take_profit_pct': 0.01, 'stop_loss_pct': 0.01}",994294.76
