,mu_mean,mu_std,sigma_scale,num_sample,burn_in,chain,MAE,RMSE,Coverage Probability
0,0.001,0.01,0.01,1000,500,2,58.927001565746885,58.92935787695622,0.0
1,0.001,0.01,0.01,1000,500,4,58.42737292404879,58.430320659142495,0.0
2,0.001,0.01,0.01,1000,1000,2,58.6952077064501,58.697491442289405,0.0
3,0.001,0.01,0.01,1000,1000,4,58.78587543416397,58.78809371028736,0.0
4,0.001,0.01,0.01,2000,500,2,58.812793773700555,58.8151023570654,0.0
5,0.001,0.01,0.01,2000,500,4,58.85376209685635,58.85613201841676,0.0
6,0.001,0.01,0.01,2000,1000,2,59.024892323893376,59.02738721168639,0.0
7,0.001,0.01,0.01,2000,1000,4,58.67712836240504,58.67945762657275,0.0
8,0.001,0.01,0.05,1000,500,2,58.81123495441932,58.81355575309526,0.0
9,0.001,0.01,0.05,1000,500,4,58.675910028865765,58.678502141747934,0.0
10,0.001,0.01,0.05,1000,1000,2,58.74334586086159,58.7455378174705,0.0
11,0.001,0.01,0.05,1000,1000,4,58.66557435490363,58.668141696103376,0.0
12,0.001,0.01,0.05,2000,500,2,58.53220468998892,58.53475123699954,0.0
13,0.001,0.01,0.05,2000,500,4,58.73218217025798,58.734496402287014,0.0
14,0.001,0.01,0.05,2000,1000,2,58.65985871076463,58.66224938575346,0.0
15,0.001,0.01,0.05,2000,1000,4,58.84494892444942,58.847422989235554,0.0
16,0.001,0.01,0.1,1000,500,2,58.8147212537913,58.81725015185946,0.0
17,0.001,0.01,0.1,1000,500,4,58.81050499247943,58.81284043919274,0.0
18,0.001,0.01,0.1,1000,1000,2,58.716597376555896,58.71893422529658,0.0
19,0.001,0.01,0.1,1000,1000,4,58.737006139284695,58.73947562626038,0.0
20,0.001,0.01,0.1,2000,500,2,58.75391815649777,58.756352453612266,0.0
21,0.001,0.01,0.1,2000,500,4,58.42451342057506,58.427165808310065,0.0
22,0.001,0.01,0.1,2000,1000,2,58.65480274523984,58.65743655399805,0.0
23,0.001,0.01,0.1,2000,1000,4,58.5876273474555,58.589703138472224,0.0
24,0.001,0.02,0.01,1000,500,2,58.4299300215096,58.43263847626077,0.0
25,0.001,0.02,0.01,1000,500,4,58.601428608558386,58.60405633846205,0.0
26,0.001,0.02,0.01,1000,1000,2,58.75630792643005,58.75851949350764,0.0
27,0.001,0.02,0.01,1000,1000,4,58.52674162957733,58.52939443081201,0.0
28,0.001,0.02,0.01,2000,500,2,58.79841654585083,58.80106927581768,0.0
29,0.001,0.02,0.01,2000,500,4,58.909302886899695,58.9116704128346,0.0
30,0.001,0.02,0.01,2000,1000,2,58.49748112153549,58.50004488881934,0.0
31,0.001,0.02,0.01,2000,1000,4,58.458569181160414,58.46117259580887,0.0
32,0.001,0.02,0.05,1000,500,2,58.71291214728724,58.715203462337335,0.0
33,0.001,0.02,0.05,1000,500,4,58.8816362624311,58.884237297181606,0.0
34,0.001,0.02,0.05,1000,1000,2,58.607867756190416,58.6103570165575,0.0
35,0.001,0.02,0.05,1000,1000,4,58.43937579597189,58.442188610870865,0.0
36,0.001,0.02,0.05,2000,500,2,58.69428328698021,58.69700751864402,0.0
37,0.001,0.02,0.05,2000,500,4,58.56193206198902,58.56481799338202,0.0
38,0.001,0.02,0.05,2000,1000,2,58.67640489498907,58.6789020429284,0.0
39,0.001,0.02,0.05,2000,1000,4,58.750964142796946,58.75317698075057,0.0
40,0.001,0.02,0.1,1000,500,2,58.44936465709354,58.45207458546285,0.0
41,0.001,0.02,0.1,1000,500,4,58.74510862992237,58.747545406771145,0.0
42,0.001,0.02,0.1,1000,1000,2,58.61315840028184,58.61576521590756,0.0
43,0.001,0.02,0.1,1000,1000,4,58.87036105676664,58.87266214412448,0.0
44,0.001,0.02,0.1,2000,500,2,58.39552517385751,58.39836741931595,0.0
45,0.001,0.02,0.1,2000,500,4,58.81735257551407,58.819666185578804,0.0
46,0.001,0.02,0.1,2000,1000,2,58.72311846180605,58.72567887620577,0.0
47,0.001,0.02,0.1,2000,1000,4,58.70644101027412,58.70903981236931,0.0
48,0.005,0.01,0.01,1000,500,2,58.452131382631,58.4548897584388,0.0
